,시,구,동,이름,월세/전세,가격,건물형태,기타정보,확인/판매여부,날짜
0,서울시,강남구,논현동,일반원룸 ,단기임대,90/90,원룸,"28/25m², 4/5층",확인,19.12.04.
1,서울시,강남구,논현동,일반원룸 ,단기임대,80/70,원룸,"33/32m², 1/3층",확인,19.12.04.
2,서울시,강남구,논현동,일반원룸 ,월세,"1,000/70",원룸,"12/12m², 5/5층, 남향",확인,19.12.04.
3,서울시,강남구,논현동,일반원룸 ,월세,80/63,원룸,"31/29m², 4/6층",확인,19.12.04.
4,서울시,강남구,논현동,일반원룸 정다운집 ,월세,"1,000/55",원룸,"32/25m², B1/3층",확인,19.12.04.
5,서울시,강남구,논현동,빌라 ,월세,"1,000/75",빌라,"31/27m², 1/4층",확인,19.12.04.
6,서울시,강남구,논현동,다가구 ,월세,"1,000/50",단독/다가구,"57/39m², 6/6층",확인,19.12.04.
7,서울시,강남구,논현동,빌라 이삼타운 ,월세,"2,000/60",빌라,"50/33m², 2/4층",확인,19.12.04.
8,서울시,강남구,논현동,다가구 ,전세,"8,500",단독/다가구,"38/29m², 4/4층",확인,19.12.04.
9,서울시,강남구,논현동,다가구 ,월세,"1,000/50",단독/다가구,"30/30m², 3/5층, 남향",확인,19.12.04.
10,서울시,강남구,논현동,빌라 ,월세,"1,000/50",빌라,"33/31m², 4/5층",확인,19.12.04.
11,서울시,강남구,논현동,다가구 ,월세,500/60,단독/다가구,"40/36m², 3/5층, 남향",확인,19.12.04.
12,서울시,강남구,논현동,리체힐신논현 A동,전세,"2억 5,000",오피스텔,"42A/22m², 11/15층, 남향",확인,19.12.04.
13,서울시,강남구,논현동,다가구 ,월세,"5,000/50",단독/다가구,"31/28m², 3/5층",확인,19.12.04.
14,서울시,강남구,논현동,연립 ,전세,2억,빌라,"52/39m², 5/5층",확인,19.12.04.
15,서울시,강남구,논현동,다가구 ,월세,"1,000/56",단독/다가구,"24/21m², 2/5층",확인,19.12.04.
16,서울시,강남구,논현동,다가구 해마루빌딩 ,월세,"5,000/75",단독/다가구,"49/42m², 4/4층",확인,19.12.04.
17,서울시,강남구,논현동,다가구 ,월세,300/55,단독/다가구,"33/27m², 2/4층",확인,19.12.04.
18,서울시,강남구,논현동,빌라 ,월세,500/390,빌라,"35/28m², 5/5층",확인,19.12.04.
19,서울시,강남구,논현동,연립 ,월세,"1억 5,000/30",빌라,"66/46m², 4/5층",확인,19.12.04.
20,서울시,강남구,논현동,빌라 E.C LIFE ,전세,"4억 9,000",빌라,"33/29m², 4/7층",확인,19.12.04.
21,서울시,강남구,논현동,연립 휴먼스페이스주상복합아파트 ,전세,"2억 8,000",빌라,"32/32m², 4/15층",확인,19.12.04.
22,서울시,강남구,논현동,연립 ,전세,2억,빌라,"39/39m², 5/5층",확인,19.12.04.
23,서울시,강남구,논현동,논현대우아이빌힐타운 1동,월세,"1,000/95",오피스텔,"78A/40m², 7/7층, 남향",확인,19.12.04.
24,서울시,강남구,논현동,강남구청역SK허브블루 1동,월세,"1,000/120",오피스텔,"71/38m², 11/15층, 남향",확인,19.12.04.
25,서울시,강남구,논현동,일반원룸 해마루빌딩 ,월세,1억/20,원룸,"29/23m², 2/4층",확인,19.12.04.
26,서울시,강남구,논현동,마일스디오빌 1동,월세,1억/80,아파트,"47/36m², 13/15층",확인,19.12.04.
27,서울시,강남구,논현동,일반원룸 해마루빌딩 ,월세,"1,000/65",원룸,"29/23m², 2/4층",확인,19.12.04.
28,서울시,강남구,논현동,빌라 ,월세,"1,000/100",빌라,"40/29m², 4/6층",확인,19.12.04.
29,서울시,강남구,논현동,다가구 ,월세,"4,000/45",단독/다가구,"30/30m², 4/5층",확인,19.12.04.
30,서울시,강남구,논현동,빌라 ,월세,"5,000/45",빌라,"41/34m², 2/3층, 남향",확인,19.12.04.
31,서울시,강남구,논현동,다가구 ,월세,"1,000/75",단독/다가구,"40m², 2/3층",확인,19.12.04.
32,서울시,강남구,논현동,다가구 ,월세,83/83,단독/다가구,"26/19m², 2/4층",확인,19.12.04.
33,서울시,강남구,논현동,다가구 ,월세,85/85,단독/다가구,"30m², 2/3층",확인,19.12.04.
34,서울시,강남구,논현동,다가구 ,월세,300/35,단독/다가구,"19m², 2/3층",확인,19.12.04.
35,서울시,강남구,논현동,다가구 ,월세,500/40,단독/다가구,"26/24m², B1/3층",확인,19.12.04.
36,서울시,강남구,논현동,다가구 ,월세,500/41,단독/다가구,"19m², 2/3층",확인,19.12.04.
37,서울시,강남구,논현동,다가구 ,월세,"1,000/55",단독/다가구,"39/36m², 6/6층",확인,19.12.04.
38,서울시,강남구,논현동,다가구 ,월세,300/35,단독/다가구,"19/16m², B1/3층",확인,19.12.04.
41,서울시,강남구,논현동,단독 ,월세,"2,000/35",단독/다가구,"39/30m², 2/5층, 남서향",확인,19.12.04.
42,서울시,강남구,논현동,다가구 ,월세,73/65,단독/다가구,"33/26m², 4/5층",확인,19.12.04.
43,서울시,강남구,논현동,다가구 ,월세,73/65,단독/다가구,"33/24m², 2/5층",확인,19.12.04.
44,서울시,강남구,논현동,단독 ,월세,73/65,단독/다가구,"33/23m², 2/5층",확인,19.12.04.
45,서울시,강남구,논현동,단독 ,월세,"1,000/60",단독/다가구,"30/20m², 2/5층, 남향",확인,19.12.04.
